YYMMMDD,u0(m),____up(m),sig_u(m)
1-Feb-19,783,0.031946,0.002211
1-Feb-20,783,0.026157,0.002354
1-Feb-21,783,0.039808,0.002321
1-Feb-22,783,0.0299,0.002303
1-Feb-23,783,0.037175,0.002356
1-Feb-24,783,0.035574,0.002511
1-Feb-25,783,0.040943,0.002491
1-Feb-26,783,0.032539,0.002385
1-Feb-27,783,0.025192,0.002335
1-Feb-28,783,0.025755,0.002354
1-Mar-01,783,0.028598,0.002423
1-Mar-02,783,0.026352,0.002421
1-Mar-03,783,0.008997,0.002411
1-Mar-04,783,0.023321,0.00244
1-Mar-05,783,0.032413,0.002501
1-Mar-06,783,0.026347,0.002405
1-Mar-07,783,0.033464,0.002212
1-Mar-08,783,0.026847,0.002344
1-Mar-09,783,0.019111,0.002437
1-Mar-10,783,0.022917,0.002504
1-Mar-11,783,0.020276,0.002389
1-Mar-12,783,0.023661,0.002335
1-Mar-13,783,0.029655,0.002283
1-Mar-14,783,0.028147,0.002367
1-Mar-15,783,0.023274,0.002258
1-Mar-16,783,0.031968,0.00244
1-Mar-17,783,0.022193,0.002436
1-Mar-18,783,0.035907,0.00236
1-Mar-19,783,0.047362,0.00238
1-Mar-20,783,0.040716,0.002431
1-Mar-21,783,0.041743,0.002393
1-Mar-22,783,0.039831,0.002393
1-Mar-23,783,0.034415,0.002376
1-Mar-24,783,0.028537,0.00234
1-Mar-25,783,0.044165,0.002356
1-Mar-26,783,0.03924,0.002477
1-Mar-27,783,0.040779,0.002507
1-Mar-28,783,0.032548,0.002566
1-Mar-29,783,0.028643,0.002399
1-Mar-30,783,0.033029,0.002432
1-Mar-31,783,0.035351,0.002888
1-Apr-01,783,0.029048,0.002508
1-Apr-02,783,0.028596,0.002391
1-Apr-03,783,0.019901,0.002537
1-Apr-04,783,0.020821,0.002381
1-Apr-05,783,0.039729,0.002701
1-Apr-06,783,0.034366,0.002547
1-Apr-07,783,0.041781,0.0025
1-Apr-08,783,0.040112,0.002486
