YYMMMDD,u0(m),____up(m),sig_u(m)
1-Feb-24,990,0.263431,0.002569
1-Feb-25,990,0.27473,0.002608
1-Feb-26,990,0.266043,0.002642
1-Feb-27,990,0.267603,0.002568
1-Feb-28,990,0.253946,0.002581
1-Mar-01,990,0.260878,0.002572
1-Mar-02,990,0.262409,0.002734
1-Mar-03,990,0.255857,0.002643
1-Mar-04,990,0.256425,0.002751
1-Mar-05,990,0.260402,0.002639
1-Mar-06,990,0.266228,0.002536
1-Mar-07,990,0.267548,0.002481
1-Mar-08,990,0.258355,0.00255
1-Mar-09,990,0.25608,0.002643
1-Mar-10,990,0.25977,0.002604
1-Mar-11,990,0.24879,0.002588
1-Mar-12,990,0.248645,0.002539
1-Mar-13,990,0.268095,0.002449
1-Mar-14,990,0.271449,0.00243
1-Mar-15,990,0.260509,0.002375
1-Mar-16,990,0.263518,0.002416
1-Mar-17,990,0.261441,0.002595
1-Mar-18,990,0.265646,0.002405
1-Mar-19,990,0.268561,0.002424
1-Mar-20,990,0.275082,0.002484
1-Mar-21,990,0.268733,0.002423
1-Mar-22,990,0.273335,0.002365
1-Mar-23,990,0.265087,0.002393
1-Mar-24,990,0.265181,0.002356
1-Mar-25,990,0.268781,0.002444
1-Mar-26,990,0.268754,0.00254
1-Mar-27,990,0.2755,0.002543
1-Mar-28,990,0.266575,0.002565
1-Mar-29,990,0.268937,0.002407
1-Mar-30,990,0.270772,0.0025
1-Mar-31,990,0.268761,0.002889
1-Apr-01,990,0.270718,0.002527
1-Apr-02,990,0.254904,0.002471
1-Apr-03,990,0.262656,0.002544
1-Apr-04,990,0.252982,0.002383
1-Apr-05,990,0.257022,0.002688
1-Apr-06,990,0.259481,0.002559
1-Apr-07,990,0.272554,0.00251
1-Apr-08,990,0.259774,0.002555
1-Apr-09,990,0.256702,0.002573
1-Apr-10,990,0.258906,0.002597
1-Apr-11,990,0.256301,0.002457
1-Apr-12,990,0.261183,0.002506
1-Apr-13,990,0.253824,0.002692
1-Apr-14,990,0.256243,0.002687
1-Apr-15,990,0.260214,0.002603
1-Apr-16,990,0.272841,0.002576
1-Apr-17,990,0.27995,0.002683
1-Apr-18,990,0.266476,0.002677
1-Apr-19,990,0.273474,0.002528
1-Apr-20,990,0.263876,0.002517
1-Apr-21,990,0.26871,0.00251
1-Apr-22,990,0.259695,0.002592
1-Apr-23,990,0.251572,0.002526
1-Apr-24,990,0.257358,0.002539
1-Apr-25,990,0.2524,0.002667
1-Apr-26,990,0.257327,0.002516
1-Apr-27,990,0.262883,0.002525
1-Apr-28,990,0.249601,0.002621
1-Apr-29,990,0.245306,0.002586
1-Apr-30,990,0.250901,0.002684
1-May-01,990,0.257903,0.002867
1-May-02,990,0.260919,0.002787
1-May-03,990,0.24802,0.002601
1-May-04,990,0.255475,0.002556
1-May-05,990,0.260509,0.002568
1-May-06,990,0.247483,0.002503
1-May-07,990,0.255047,0.002573
1-May-08,990,0.263049,0.002813
1-May-09,990,0.259374,0.002658
1-May-10,990,0.264536,0.002691
1-May-11,990,0.269006,0.002723
1-May-12,990,0.252188,0.0027
1-May-13,990,0.254995,0.002593
1-May-14,990,0.264445,0.002643
1-May-15,990,0.247954,0.002701
1-May-16,990,0.24663,0.002718
1-May-17,990,0.255548,0.00273
1-May-18,990,0.255272,0.00255
1-May-19,990,0.24865,0.002494
1-May-20,990,0.257761,0.002453
1-May-21,990,0.255698,0.002447
1-May-22,990,0.26808,0.0025
1-May-23,990,0.271793,0.002512
1-May-24,990,0.265199,0.002533
1-May-25,990,0.257562,0.002586
1-May-26,990,0.251253,0.002484
1-May-27,990,0.245555,0.002608
1-May-28,990,0.255261,0.002483
1-May-29,990,0.248039,0.002495
1-May-30,990,0.246614,0.002402
1-May-31,990,0.253854,0.00249
1-Jun-01,990,0.253205,0.002532
1-Jun-02,990,0.253804,0.002486
1-Jun-03,990,0.240401,0.002419
1-Jun-04,990,0.24723,0.002396
1-Jun-05,990,0.248821,0.002488
1-Jun-06,990,0.237667,0.002653
1-Jun-16,990,0.247724,0.00263
1-Jun-17,990,0.24696,0.002525
1-Jun-18,990,0.259857,0.002814
1-Jun-19,990,0.247172,0.002487
1-Jun-20,990,0.256634,0.00271
1-Jun-21,990,0.247375,0.002531
1-Jun-22,990,0.234766,0.002634
1-Jun-23,990,0.245941,0.002615
1-Jun-24,990,0.245276,0.002683
1-Jun-25,990,0.264206,0.002514
1-Jun-26,990,0.268056,0.002559
1-Jun-27,990,0.251435,0.002591
1-Jun-28,990,0.245728,0.002539
1-Jun-29,990,0.227025,0.002516
1-Jun-30,990,0.241786,0.0025
1-Jul-01,990,0.247949,0.002758
1-Jul-02,990,0.241901,0.002532
1-Jul-03,990,0.254532,0.002606
1-Jul-04,990,0.244138,0.002549
1-Jul-05,990,0.255663,0.002586
1-Jul-06,990,0.244686,0.002592
1-Jul-07,990,0.226423,0.002671
1-Jul-08,990,0.249602,0.002561
1-Jul-09,990,0.253777,0.002541
1-Jul-10,990,0.255778,0.002779
1-Jul-11,990,0.252177,0.002532
1-Jul-12,990,0.236577,0.00263
1-Jul-13,990,0.239254,0.002556
1-Jul-14,990,0.247445,0.002459
1-Jul-15,990,0.240574,0.002653
1-Jul-16,990,0.235355,0.002574
1-Jul-17,990,0.23556,0.002501
1-Jul-18,990,0.244252,0.002552
1-Jul-19,990,0.222746,0.002638
1-Jul-20,990,0.23277,0.00272
1-Jul-21,990,0.239243,0.00264
1-Jul-22,990,0.250208,0.00262
1-Jul-23,990,0.24162,0.002592
1-Jul-24,990,0.235695,0.002563
1-Jul-25,990,0.250982,0.002764
1-Jul-26,990,0.251148,0.002695
1-Jul-27,990,0.246904,0.002775
1-Jul-28,990,0.254366,0.002556
1-Jul-29,990,0.246356,0.002595
1-Jul-30,990,0.248706,0.002637
1-Jul-31,990,0.214776,0.002606
1-Aug-01,990,0.254081,0.002594
1-Aug-03,990,0.24042,0.002638
1-Aug-04,990,0.24414,0.00265
1-Aug-05,990,0.241957,0.002648
1-Aug-06,990,0.222691,0.002542
1-Aug-07,990,0.234021,0.002557
1-Aug-08,990,0.247261,0.002702
1-Aug-09,990,0.240294,0.002654
1-Aug-10,990,0.242662,0.00263
1-Aug-11,990,0.229865,0.00269
1-Aug-12,990,0.232936,0.002661
1-Aug-13,990,0.233957,0.002636
1-Aug-14,990,0.237058,0.002624
1-Aug-15,990,0.233829,0.002527
1-Aug-16,990,0.26347,0.002534
1-Aug-17,990,0.256262,0.002741
1-Aug-18,990,0.247938,0.0028
1-Aug-19,990,0.244494,0.002664
1-Aug-20,990,0.262364,0.002781
1-Aug-21,990,0.247397,0.002834
1-Aug-22,990,0.238458,0.002632
1-Aug-23,990,0.252275,0.002667
1-Aug-24,990,0.23811,0.002658
1-Aug-25,990,0.246332,0.00271
1-Aug-26,990,0.254042,0.002758
