"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-21",,,"6.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-22",,,"8.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-23",,,"17.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-24",,,"35.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-25",,,"13.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-26",,,"1.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-27",,,"57.9","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-28",,,"9.7","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-29",,,"3.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-30",,,,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-12-31","    2","14.7",,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-01",,,"26.7","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-02",,,"1.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-03",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-04",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-05",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-06",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-07",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-08",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-09",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-10",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-11",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-12",,,"0.8","0.0","0.0"
