YYMMMDD,u0(m),____up(m),sig_u(m)
00JUL29,1104,0.769309,0.00269
00JUL30,1104,0.784738,0.002572
00JUL31,1104,0.780063,0.00253
00AUG01,1104,0.7799,0.002772
00AUG02,1104,0.777266,0.002796
00AUG03,1104,0.763649,0.002649
00AUG04,1104,0.769994,0.002635
00AUG05,1104,0.764685,0.00295
00AUG06,1104,0.766493,0.00271
00AUG07,1104,0.779471,0.002775
00AUG08,1104,0.769171,0.002705
00AUG09,1104,0.777943,0.002915
00AUG10,1104,0.785422,0.003349
00AUG11,1104,0.771239,0.002794
00AUG12,1104,0.781029,0.0028
00AUG13,1104,0.777566,0.002795
00AUG14,1104,0.774191,0.002799
00AUG15,1104,0.77276,0.002826
00AUG16,1104,0.77894,0.002618
00AUG17,1104,0.766445,0.002802
00AUG18,1104,0.788074,0.00291
00AUG19,1104,0.770004,0.002672
00AUG21,1104,0.760032,0.002582
00AUG22,1104,0.755144,0.002725
00AUG23,1104,0.769068,0.003246
00AUG24,1104,0.761239,0.002695
00AUG25,1104,0.769229,0.002726
00AUG26,1104,0.756702,0.002645
00AUG27,1104,0.76903,0.002606
00AUG28,1104,0.767728,0.002733
00AUG29,1104,0.755489,0.002565
00AUG30,1104,0.764514,0.002661
00AUG31,1104,0.7715,0.002602
00SEP01,1104,0.777467,0.002656
00SEP02,1104,0.764012,0.002776
00SEP03,1104,0.77284,0.002814
00SEP04,1104,0.778123,0.002683
00SEP05,1104,0.762011,0.002776
00SEP06,1104,0.780717,0.002805
00SEP07,1104,0.770882,0.002717
00SEP08,1104,0.784849,0.002549
00SEP09,1104,0.776455,0.002716
00SEP10,1104,0.772958,0.002632
00SEP11,1104,0.781841,0.002679
00SEP12,1104,0.777306,0.002527
00SEP13,1104,0.776161,0.002515
00SEP14,1104,0.773979,0.002684
00SEP15,1104,0.779066,0.002628
00SEP16,1104,0.781202,0.002473
00SEP17,1104,0.773476,0.002542
00SEP18,1104,0.759904,0.002505
00SEP19,1104,0.786935,0.002721
00SEP20,1104,0.764056,0.002466
00SEP21,1104,0.779572,0.002409
00SEP22,1104,0.769398,0.002495
00SEP23,1104,0.770791,0.002556
00SEP24,1104,0.777122,0.002523
00SEP25,1104,0.773571,0.002502
00SEP26,1104,0.771656,0.002414
00SEP27,1104,0.768357,0.002648
00SEP28,1104,0.796393,0.00332
00SEP29,1104,0.76566,0.00283
00SEP30,1104,0.774006,0.002605
00OCT01,1104,0.765554,0.002634
00OCT02,1104,0.761002,0.002637
00OCT03,1104,0.770039,0.002632
00OCT04,1104,0.752866,0.002515
00OCT05,1104,0.794212,0.002926
00OCT06,1104,0.767634,0.002458
00OCT07,1104,0.770477,0.002506
00OCT08,1104,0.756566,0.002558
00OCT09,1104,0.762917,0.002492
00OCT10,1104,0.760687,0.00255
00OCT11,1104,0.756464,0.002471
00OCT12,1104,0.756685,0.002557
00OCT13,1104,0.768454,0.002498
